time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-23 00:00:00+00:00,3957,41,572,101
2023-10-24 00:00:00+00:00,3633,44,1047,104
2023-10-25 00:00:00+00:00,3964,96,775,89
2023-10-26 00:00:00+00:00,3831,77,818,111
2023-10-27 00:00:00+00:00,3955,56,911,106
2023-10-28 00:00:00+00:00,3505,23,109,33
2023-10-29 00:00:00+00:00,3461,24,150,33
2023-10-30 00:00:00+00:00,3626,50,783,105
2023-10-31 00:00:00+00:00,3961,140,902,124
2023-11-01 00:00:00+00:00,3715,76,984,86
2023-11-02 00:00:00+00:00,3652,92,663,95
2023-11-03 00:00:00+00:00,3548,73,471,76
2023-11-04 00:00:00+00:00,3404,25,133,32
2023-11-05 00:00:00+00:00,3113,22,141,31
