url_path,views_total,views_unique
/weaveworks/weave-gitops,933,539
/weaveworks/weave-gitops/tree/main/charts/gitops-server,211,53
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,192,87
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,172,42
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,109,50
/weaveworks/weave-gitops/issues,108,59
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,96,44
/weaveworks/weave-gitops/releases,73,41
/weaveworks/weave-gitops/blob/main/doc/img/04-yaml.png,50,24
/weaveworks/weave-gitops/blob/main/doc/img/06-runtime.png,50,24
