time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-26 00:00:00+00:00,91,14,98,8
2021-07-27 00:00:00+00:00,397,60,670,30
2021-07-28 00:00:00+00:00,231,59,293,38
2021-07-29 00:00:00+00:00,295,70,361,45
2021-07-30 00:00:00+00:00,180,57,91,22
2021-07-31 00:00:00+00:00,211,64,55,10
2021-08-01 00:00:00+00:00,134,60,90,4
2021-08-02 00:00:00+00:00,373,76,507,28
2021-08-03 00:00:00+00:00,492,89,413,35
2021-08-04 00:00:00+00:00,302,59,338,36
2021-08-05 00:00:00+00:00,298,51,324,42
2021-08-06 00:00:00+00:00,206,47,195,28
2021-08-07 00:00:00+00:00,80,22,50,7
2021-08-08 00:00:00+00:00,67,25,8,8
2021-08-09 00:00:00+00:00,288,52,470,27
2021-08-10 00:00:00+00:00,154,23,293,35
2021-08-11 00:00:00+00:00,202,35,288,29
2021-08-12 00:00:00+00:00,342,41,385,38
2021-08-13 00:00:00+00:00,178,48,215,25
2021-08-14 00:00:00+00:00,107,29,63,11
2021-08-15 00:00:00+00:00,70,29,19,10
2021-08-16 00:00:00+00:00,251,47,363,27
2021-08-17 00:00:00+00:00,253,30,259,26
2021-08-18 00:00:00+00:00,258,41,273,27
2021-08-19 00:00:00+00:00,206,42,312,33
2021-08-20 00:00:00+00:00,346,34,314,22
2021-08-21 00:00:00+00:00,148,30,49,10
2021-08-22 00:00:00+00:00,95,26,30,14
2021-08-23 00:00:00+00:00,624,78,983,34
2021-08-24 00:00:00+00:00,371,69,324,37
2021-08-25 00:00:00+00:00,378,74,367,35
2021-08-26 00:00:00+00:00,560,69,562,37
2021-08-27 00:00:00+00:00,319,53,232,23
2021-08-28 00:00:00+00:00,86,17,24,8
2021-08-29 00:00:00+00:00,122,36,39,11
2021-08-30 00:00:00+00:00,425,41,365,17
2021-08-31 00:00:00+00:00,690,44,757,36
2021-09-01 00:00:00+00:00,382,39,529,30
2021-09-02 00:00:00+00:00,211,41,307,28
2021-09-03 00:00:00+00:00,487,35,389,28
2021-09-04 00:00:00+00:00,131,32,38,9
2021-09-05 00:00:00+00:00,93,34,12,8
2021-09-06 00:00:00+00:00,141,35,177,23
2021-09-07 00:00:00+00:00,444,48,687,37
2021-09-08 00:00:00+00:00,700,38,746,37
2021-09-09 00:00:00+00:00,393,44,501,35
2021-09-10 00:00:00+00:00,374,25,357,36
2021-09-11 00:00:00+00:00,52,5,92,16
2021-09-12 00:00:00+00:00,32,3,8,8
2021-09-13 00:00:00+00:00,482,20,511,31
2021-09-14 00:00:00+00:00,464,77,478,38
2021-09-15 00:00:00+00:00,481,85,236,30
2021-09-16 00:00:00+00:00,610,73,548,43
2021-09-17 00:00:00+00:00,268,57,330,25
2021-09-18 00:00:00+00:00,155,48,24,9
2021-09-19 00:00:00+00:00,116,37,27,8
2021-09-20 00:00:00+00:00,227,57,321,37
2021-09-21 00:00:00+00:00,537,74,447,27
2021-09-22 00:00:00+00:00,464,79,404,27
2021-09-23 00:00:00+00:00,503,78,581,30
2021-09-24 00:00:00+00:00,329,65,251,32
2021-09-25 00:00:00+00:00,139,62,44,8
2021-09-26 00:00:00+00:00,95,40,10,6
2021-09-27 00:00:00+00:00,280,45,332,32
2021-09-28 00:00:00+00:00,416,69,331,31
2021-09-29 00:00:00+00:00,593,73,530,34
2021-09-30 00:00:00+00:00,332,70,373,25
